Nº,Categoria,Item a Verificar,Norma(s),Tipo,Conformidade,Observações
1,1. Enquadramento e Tensão de Fornecimento,Carga instalada da unidade consumidora ≤ 75 kW → fornecimento previsto em baixa tensão (rede aérea secundária)?,NT 001 / NT 004,Geral,,
2,1. Enquadramento e Tensão de Fornecimento,"Carga instalada > 75 kW → fornecimento previsto em média tensão (13,8 / 23,1 / 34,5 kV)?",NT 004,Geral,,
3,1. Enquadramento e Tensão de Fornecimento,Unidade consumidora com carga entre 50 kW e 75 kW: enquadramento no Grupo A devidamente justificado em estudo da concessionária?,NT 004,Geral,,
4,1. Enquadramento e Tensão de Fornecimento,"Condomínio/empreendimento de múltiplas unidades com carga > 75 kW e ≤ 300 kVA: enquadrado no Grupo B com (i) mais de 50% das unidades em Grupo B, (ii) solicitação/concordância do consumidor e (iii) estudo de viabilidade da concessionária?",NT 004,Geral,,
5,2. Ramais de Conexão,Ramal de conexão aéreo em BT com no máximo 30 m do ponto de ligação ao ponto de conexão (medição)?,NT 001,Geral,,
6,2. Ramais de Conexão,Ramal parte do poste da rede secundária mais próximo do ponto de conexão do consumidor?,NT 001,Geral,,
7,2. Ramais de Conexão,"Ramal entra pela frente do terreno/construção, no limite da via pública, sem atravessar terrenos de terceiros?",NT 001,Geral,,
8,2. Ramais de Conexão,Ramal não cruza com condutores de ligação de prédios vizinhos?,NT 001,Geral,,
9,2. Ramais de Conexão,"Ramal mantém afastamento mínimo de 1,20 m de janelas, sacadas, telhados, escadas e áreas adjacentes?",NT 001,Geral,,
10,2. Ramais de Conexão,"Ramal derivado da rede de MT com bitola mínima de 35 mm² (13,8 kV) ou 50 mm² (23,1 kV)?",NT 004,Geral,,
11,2. Ramais de Conexão,Vão livre do ramal de conexão em MT não excede 40 m (condições normais)?,NT 004,Geral,,
12,2. Ramais de Conexão,Postes locados de forma que o ramal de ligação ao consumidor não exceda 30 m?,NT 005,Geral,,
13,3. Critérios Gerais de Rede — Vãos e Postes,"Redes rurais monofásicas (MRT) ou bifásicas: trecho de conexão com a concessionária em rede nua, demais trechos trifásicos em RDC?",NT 005,Rural,,
14,3. Critérios Gerais de Rede — Vãos e Postes,Vão rural (topografia plana): secundário ≤ 45 m e primário ≤ 80 m?,NT 006,Rural,,
15,3. Critérios Gerais de Rede — Vãos e Postes,"Rede trifásica rural (vento 90 km/h): vão máximo de 110 m (cabo 1/0 AWG) ou 80 m (cabo 4/0 AWG / 336,4 MCM)?",NT 005,Rural,,
16,3. Critérios Gerais de Rede — Vãos e Postes,"Estruturas tipo pilar no poste (P1, P3, P4) aplicadas somente em redes rurais?",NT 005,Rural,,
17,3. Critérios Gerais de Rede — Vãos e Postes,"Estruturas N1, N2, N3 e N4 utilizadas tanto em redes rurais como urbanas (fins de manutenção)?",NT 005,Geral,,
18,3. Critérios Gerais de Rede — Vãos e Postes,"Postes de fibra aplicados apenas em áreas de difícil acesso/alta corrosividade ou com justificativa técnico-econômica, respeitando limite de TR até 300 kVA?",NT 005,Geral,,
19,3. Critérios Gerais de Rede — Vãos e Postes,Poste de concreto duplo T instalado com o lado de maior esforço posicionado para o encabeçamento da rede?,NT 006,Geral,,
20,3. Critérios Gerais de Rede — Vãos e Postes,"Vãos contínuos sucessivos preveem ancoragem dupla (estruturas U4, UP4, P4, N4, T4, TE)?",NT 006,Geral,,
21,3. Critérios Gerais de Rede — Vãos e Postes,"Postes de 9 m usados exclusivamente em BT, sem previsão de rede de MT?",NT 005,Geral,,
22,3. Critérios Gerais de Rede — Vãos e Postes,Postes de 10 m usados em MT rural monofásica convencional (cabo nu) ou BT em condições especiais?,NT 005,Rural,,
23,3. Critérios Gerais de Rede — Vãos e Postes,"Postes de 11 m usados em MT bi/trifásica (cruzeta, pilar no poste ou compacta), com ou sem BT?",NT 005,Geral,,
24,3. Critérios Gerais de Rede — Vãos e Postes,"Postes de 12 m atendem mesmas condições dos de 11 m, com possibilidade de circuitos duplos?",NT 005,Geral,,
25,3. Critérios Gerais de Rede — Vãos e Postes,"RDR (condutores 4/0 AWG, 336,4 MCM ou liga 246,9/394,5 MCM): encabeçamento apenas HT ou HTE, poste mínimo 600 daN?",NT 006,Rural,,
26,3. Critérios Gerais de Rede — Vãos e Postes,"Estruturas N3, T3, N4, T4 com cruzeta tipo T de 250 daN em RDR: limitadas a condutores ≤ 1/0 AWG, vão rural máximo 80 m (topografia plana)?",NT 006,Rural,,
27,4. Rede de Distribuição Compacta (RDC),RDC projetada em trechos rurais com alto índice de arborização ou em circuitos duplos?,NT 0018,Rural,,
28,4. Rede de Distribuição Compacta (RDC),RDC não projetada sobre terrenos de terceiros?,NT 0018,Geral,,
29,4. Rede de Distribuição Compacta (RDC),"Derivações preferencialmente perpendiculares à rede, com 1º poste a no máximo 40 m da derivação?",NT 0018,Geral,,
30,4. Rede de Distribuição Compacta (RDC),Cabo coberto XLPE+HDPE de alumínio e cabo mensageiro em cordoalha de aço zincado corretamente especificados?,NT 0018,Geral,,
31,4. Rede de Distribuição Compacta (RDC),Seção do tronco de alimentadores ≥ 150 mm²/185 mm²; derivações em 50 mm²/70 mm² conforme carga?,NT 0018 / NT 005,Geral,,
32,4. Rede de Distribuição Compacta (RDC),"Postes RDC com altura mínima de 11 m (13,8 kV, estruturas simples) ou 12 m (equipamentos, derivação, tronco, ou 23,1/34,5 kV)?",NT 0018,Geral,,
33,4. Rede de Distribuição Compacta (RDC),Ângulos de deflexão da RDC evitados; estrutura CE1-A prevista a cada 3 estruturas CE1 em sequência?,NT 0018,Geral,,
34,4. Rede de Distribuição Compacta (RDC),Estruturas de ancoragem projetadas em intervalos máximos de 400 m?,NT 0018,Geral,,
35,4. Rede de Distribuição Compacta (RDC),Aterramento do cabo mensageiro previsto em pontos críticos (para-raios/equipamentos/fim de rede) e a cada 300 m?,NT 0018,Geral,,
36,4. Rede de Distribuição Compacta (RDC),Vão máximo de 60 m onde houver só MT e 40 m onde houver BT; estrutura CE2 usada em vãos de 60 m com cabo 185 mm²?,NT 0018,Geral,,
37,4. Rede de Distribuição Compacta (RDC),"Condutores protegidos em RDC rural aplicados apenas em áreas de grande arborização, com para-raios na transição alumínio nu → protegido?",NT 005,Rural,,
38,4. Rede de Distribuição Compacta (RDC),Ventos acima de 90 km/h e cabo monofásico: aplicação possível exclusivamente em zona rural?,NT 0018,Rural,,
39,5. Transformadores,TR exclusivo para atendimento de unidade única do Grupo B em área rural: permitido?,NT 006,Rural,,
40,5. Transformadores,TR em área rural: poste mínimo de 11 m (exceto reaproveitamento de poste 10 m existente)?,NT 006,Rural,,
41,5. Transformadores,TR monofásico em área rural (sistema MRT): ponto de medição do cliente entre 15 m e 23 m do poste do TR?,NT 006,Rural,,
42,5. Transformadores,"TR locado, tanto quanto possível, no centro de carga da área de atendimento?",NT 0018,Geral,,
43,5. Transformadores,"TR não instalado em esquinas, postes de ângulo, derivação ou cruzamento?",NT 005 / NT 006 / NT 0018,Geral,,
44,5. Transformadores,TR não instalado em frente a edificações com marquises/sacadas sem afastamento mínimo?,NT 005,Geral,,
